"node","lagoon","station","season","date_time","water_column_position","dissolved_organic_carbon_umol_L","total_dissolved_nitrogen_umol_L","chlorophyll_a_ug_L","conductivity_uS_cm","depth_m","DO_concentration_mg_L","DO_saturation_percent","phycoerythrin_ug_L","pH","salinity","specific_conductivity_uS_cm","temperature_C","notes.x","d18O","notes.y","collection_method","station_name","latitude","longitude","habitat_type","station_sampling_priority"
"Central","Simpson","SILD1","under ice",2021-04-23,"bottom",188,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.6,NA,"pump","Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
"Central","Simpson","SILD1","under ice",2021-04-23,"surface",102,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.2,NA,"pump","Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
"Central","Simpson","SILD1","open water",2021-08-06,"bottom",126,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pump","Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
"Central","Simpson","SILD1","open water",2021-08-06,"surface",122,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.7,NA,"pump","Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
"Central","Simpson","SILD1","under ice",2022-04-18,"bottom",144,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.8,NA,"pump","Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
"Central","Simpson","SILD1","under ice",2022-04-18,"surface",148,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.7,NA,"pump","Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
"Central","Simpson","SILD1","open water",2022-08-04,"bottom",145,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,NA,"pump","Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
"Central","Simpson","SILD1","open water",2022-08-04,"surface",411,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.1,NA,"pump","Simpson Lagoon Deep Station 1",70.53706667,-149.77535,"lagoon","primary"
"Central","Simpson","SILD2","open water",2018-07-29,"bottom",NA,NA,5.76,5295,1.7,11.3,100.1,10.96,7.91,4.23,7670,8.8,NA,NA,NA,NA,"Simpson Lagoon Deep Station 2",70.53988333,-149.4765833,"lagoon","secondary"
"Central","Simpson","SILD2","open water",2018-07-29,"surface",NA,NA,6.07,5065,0,11.29,100,11.94,7.93,4.01,7316,8.9,NA,NA,NA,NA,"Simpson Lagoon Deep Station 2",70.53988333,-149.4765833,"lagoon","secondary"
"Central","Simpson","SILD2","open water",2019-08-05,"bottom",97,5,1.25,26925,1.59,10.48,101.6,4.2,7.93,26.26,41519,6.6,NA,-5.5,NA,"pump","Simpson Lagoon Deep Station 2",70.53988333,-149.4765833,"lagoon","secondary"
"Central","Simpson","SILD2","open water",2019-08-05,"surface",138,7,0.92,26431,0.25,10.44,102.3,4.31,7.92,25.17,39870,7.4,NA,-5.5,NA,"pump","Simpson Lagoon Deep Station 2",70.53988333,-149.4765833,"lagoon","secondary"
"Central","Simpson","SILD2","open water",2021-08-07,"bottom",124,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pump","Simpson Lagoon Deep Station 2",70.53988333,-149.4765833,"lagoon","secondary"
"Central","Simpson","SILD2","open water",2021-08-07,"surface",140,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.1,NA,"pump","Simpson Lagoon Deep Station 2",70.53988333,-149.4765833,"lagoon","secondary"
"Central","Simpson","SILS1","break up",2019-06-29,"surface",245,12,1.67,2252,0.3,13.99,102.3,7.76,7.97,2.09,4037,1.9,NA,-10.5,NA,"pump","Simpson Lagoon Shallow Station 1",70.50396,-149.70968,"lagoon","primary"
"Central","Simpson","SILS1","open water",2019-08-05,"surface",117,6,1.58,21244,0.34,10.82,103.2,4.69,7.93,18.55,29850,9,NA,-10.3,NA,"pump","Simpson Lagoon Shallow Station 1",70.50396,-149.70968,"lagoon","primary"
"Central","Simpson","SILS1","break up",2021-06-23,"surface",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.8,NA,NA,"Simpson Lagoon Shallow Station 1",70.50396,-149.70968,"lagoon","primary"
"Central","Simpson","SILS1","break up",2021-06-25,"surface",293,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pump","Simpson Lagoon Shallow Station 1",70.50396,-149.70968,"lagoon","primary"
"Central","Simpson","SILS1","open water",2021-08-06,"surface",248,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.2,NA,"pump","Simpson Lagoon Shallow Station 1",70.50396,-149.70968,"lagoon","primary"
"Central","Simpson","SILS1","break up",2022-06-26,"surface",340,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.8,NA,"pump","Simpson Lagoon Shallow Station 1",70.50396,-149.70968,"lagoon","primary"
"Central","Simpson","SILS1","open water",2022-08-04,"surface",287,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.5,NA,"pump","Simpson Lagoon Shallow Station 1",70.50396,-149.70968,"lagoon","primary"
"Central","Simpson","SILS2","open water",2019-08-05,"surface",192,9,2.23,25223,0.33,10.11,101.4,4.76,7.93,22.79,36284,9,NA,-6.3,NA,"pump","Simpson Lagoon Shallow Station 2",70.4952,-149.42349,"lagoon","secondary"
"Central","Simpson","SILS2","open water",2021-08-07,"surface",293,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pump","Simpson Lagoon Shallow Station 2",70.4952,-149.42349,"lagoon","secondary"
"Central","Stefansson","ATR1","open water",2021-08-09,"surface",67,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pump","Atigun River Pump Station 2",69.454917,-148.542318,"river","river"
"Central","Stefansson","ATR1","open water",2022-08-06,"surface",109,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.8,NA,"pump","Atigun River Pump Station 2",69.454917,-148.542318,"river","river"
"Central","Stefansson","PUR1","break up",2022-06-25,"surface",555,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.8,NA,"pump","Putuligayuk River Station 1",70.26707,-148.63162,"river","river"
"Central","Stefansson","PUR1","open water",2022-08-06,"surface",619,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.4,NA,"pump","Putuligayuk River Station 1",70.26707,-148.63162,"river","river"
"Central","Stefansson","SAR1","break up",2019-06-27,"surface",121,8,0.17,261,NA,11.62,105,2.81,8.33,0.17,358,10.8,NA,-20.5,NA,"pump","Sagavanirktok River Station 1",70.2493,-148.3069,"river","river"
"Central","Stefansson","SAR1","open water",2019-08-03,"surface",287,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20,NA,"pump","Sagavanirktok River Station 1",70.2493,-148.3069,"river","river"
"Central","Stefansson","SAR1","open water",2019-08-04,"surface",NA,NA,-0.1,324.9,NA,10.84,101.1,2.59,8.55,0.21,430.4,12.2,NA,NA,NA,NA,"Sagavanirktok River Station 1",70.2493,-148.3069,"river","river"
"Central","Stefansson","SAR1","break up",2021-06-22,"surface",67,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.4,NA,"pump","Sagavanirktok River Station 1",70.2493,-148.3069,"river","river"
"Central","Stefansson","SAR1","open water",2021-08-03,"surface",93,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.1,NA,"pump","Sagavanirktok River Station 1",70.2493,-148.3069,"river","river"
"Central","Stefansson","SAR1","open water",2021-08-09,"surface",63,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pump","Sagavanirktok River Station 1",70.2493,-148.3069,"river","river"
"Central","Stefansson","SAR1","break up",2022-06-24,"surface",92,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.7,NA,"pump","Sagavanirktok River Station 1",70.2493,-148.3069,"river","river"
"Central","Stefansson","SAR1","open water",2022-08-06,"surface",127,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.5,NA,"pump","Sagavanirktok River Station 1",70.2493,-148.3069,"river","river"
"Central","Stefansson","SAR2","open water",2021-08-09,"surface",58,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pump","Sagavanirktok River Station 2",70.00339,-148.663541,"river","river"
"Central","Stefansson","SSL Trans A","under ice",2021-04-24,"bottom",301,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.4,NA,"pump","Stefansson Transect A",70.36406,-148.003602,"lagoon","not applicable"
"Central","Stefansson","SSL Trans A","under ice",2021-04-24,"surface",277,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.3,NA,"pump","Stefansson Transect A",70.36406,-148.003602,"lagoon","not applicable"
"Central","Stefansson","SSL Trans B","under ice",2021-04-24,"bottom",101,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5,NA,"pump","Stefansson Transect B",70.358175,-147.986612,"lagoon","not applicable"
"Central","Stefansson","SSL Trans B","under ice",2021-04-24,"surface",171,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5,NA,"pump","Stefansson Transect B",70.358175,-147.986612,"lagoon","not applicable"
"Central","Stefansson","SSLD1","open water",2018-07-30,"bottom",NA,NA,3.85,22999,4.5,10.76,90,10.82,7.66,27.37,43557,0.6,NA,NA,NA,NA,"Stefansson Sound Deep Station 1",70.37226667,-148.0239333,"lagoon","primary"
"Central","Stefansson","SSLD1","open water",2018-07-30,"surface",NA,NA,0.48,5414,0,11.8,106.5,2.75,8.17,4.19,9200,8,NA,NA,NA,NA,"Stefansson Sound Deep Station 1",70.37226667,-148.0239333,"lagoon","primary"
"Central","Stefansson","SSLD1","open water",2018-08-01,"bottom",NA,NA,7.33,23729,4.8,10.82,91.4,19.3,7.69,27.9,44979,0.3,NA,NA,NA,NA,"Stefansson Sound Deep Station 1",70.37226667,-148.0239333,"lagoon","primary"
"Central","Stefansson","SSLD1","open water",2018-08-01,"surface",NA,NA,1.31,9944,0,11.4,106.6,5,8.13,8.06,13859,10.1,NA,NA,NA,NA,"Stefansson Sound Deep Station 1",70.37226667,-148.0239333,"lagoon","primary"
"Central","Stefansson","SSLD1","under ice",2019-04-20,"bottom",111,12,0.34,25992,3.91,11.42,94.2,3.75,7.56,32.58,52685,-1.5,NA,-2.9,NA,"pump","Stefansson Sound Deep Station 1",70.37226667,-148.0239333,"lagoon","primary"
"Central","Stefansson","SSLD1","under ice",2019-04-20,"surface",68,9,0.77,1906,1.8,14.23,97.9,4.79,7.94,1.89,3684,-0.2,NA,-21,NA,"pump","Stefansson Sound Deep Station 1",70.37226667,-148.0239333,"lagoon","primary"
"Central","Stefansson","SSLD1","break up",2019-06-27,"bottom",NA,NA,0.58,1456,4.3,13.44,99.5,6.2,8,1.3,2552,2.6,NA,NA,NA,NA,"Stefansson Sound Deep Station 1",70.37226667,-148.0239333,"lagoon","primary"
"Central","Stefansson","SSLD1","break up",2019-06-27,"surface",NA,NA,0.8,26185,0.3,10.45,87.6,6.82,7.37,32.24,51973,-0.9,NA,NA,NA,NA,"Stefansson Sound Deep Station 1",70.37226667,-148.0239333,"lagoon","primary"
"Central","Stefansson","SSLD1","open water",2019-08-03,"bottom",NA,NA,2.06,27366,0.28,11.42,105,7.91,7.97,29.28,46338,3.6,NA,NA,NA,NA,"Stefansson Sound Deep Station 1",70.37226667,-148.0239333,"lagoon","primary"
"Central","Stefansson","SSLD1","open water",2019-08-03,"surface",152,7,1.12,27988,3.8,10.87,103.5,4.88,7.94,28.59,45063,5.2,NA,-4.4,NA,"pump","Stefansson Sound Deep Station 1",70.37226667,-148.0239333,"lagoon","primary"
