node,lagoon,station,season,date_collected,water_column_position,ammonia_umol_N_L,phosphate_umol_P_L,silicate_umol_SiO2_L,nitrate_nitrite_umol_N_L,flag_NH3,flag_PO4,flag_SiO2,flag_NO23,collection_method,station_name,latitude,longitude,habitat_type,station_sampling_priority
East,Jago,JALD1,open water,2019-08-08,bottom,0.7,1.2,6.4,2.1,VALID,VALID,VALID,VALID,pump,Jago Lagoon Deep Station 1,70.1040667,-143.48925,lagoon,secondary
East,Jago,JALD1,open water,2019-08-08,surface,0.6,0.8,6.5,0,VALID,VALID,VALID,BD,pump,Jago Lagoon Deep Station 1,70.1040667,-143.48925,lagoon,secondary
East,Jago,JALD2,open water,2018-08-01,bottom,0.1,0.5,NA,2.1,VALID,VALID,NS,VALID,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2018-08-01,surface,0.1,0.1,NA,1.4,VALID,VALID,NS,VALID,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,under ice,2019-04-27,bottom,20.2,3.3,20.3,2.1,VALID,VALID,VALID,VALID,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,under ice,2019-04-27,surface,0.4,6,13.9,5.7,VALID,VALID,VALID,VALID,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,break up,2019-06-21,bottom,NA,5,13.2,1.4,HIGH,VALID,VALID,BD,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,break up,2019-06-21,surface,0.1,0,5.5,NA,VALID,BD,VALID,BD,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2019-08-08,bottom,0.8,2.3,3,0,VALID,VALID,VALID,BD,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2019-08-08,surface,0.7,1.8,2,0,VALID,VALID,VALID,BD,pump,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALS1,open water,2018-08-02,surface,0.8,NA,NA,2.1,VALID,NS,NS,VALID,pump,Jago Lagoon Shallow Station 1,70.08801,-143.45609,lagoon,secondary
East,Jago,JALS1,open water,2019-08-08,surface,2.9,0.4,4.5,0,VALID,VALID,VALID,BD,pump,Jago Lagoon Shallow Station 1,70.08801,-143.45609,lagoon,secondary
East,Jago,JALS2,open water,2018-08-01,surface,0.1,0,NA,1.4,VALID,VALID,NS,VALID,pump,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,break up,2019-06-23,surface,NA,0.1,5.8,NA,BD,VALID,VALID,BD,pump,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
