node,lagoon,station,season,date_time,water_column_position,chlorophyll_a_ug_L,conductivity_uS_cm,depth_m,DO_concentration_mg_L,DO_saturation_percent,phycoerythrin_ug_L,pH,salinity,specific_conductivity_uS_cm,temperature_C,notes,station_name,latitude,longitude,habitat_type,station_sampling_priority
West,Elson West,EWLD2,under ice,2019-04-15T21:00:00Z,bottom,0.34,27666,3.3,10.36,86.5,2.3,7.51,35.33,5645,-1.8,NA,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLD2,under ice,2019-04-15T21:00:00Z,surface,0.23,26476,1.4,10.54,86.8,1.4,7.79,33.69,54465,-1.9,NA,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLD2,open water,2019-08-05T22:42:00Z,bottom,2.55,32553,2.75,9.13,97.1,3.5,7.95,29.7,46081,9.6,NA,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLD2,open water,2019-08-05T22:42:00Z,surface,2.28,30344,0.12,9.67,100.6,3.65,7.93,27.78,43400,9.3,NA,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLD2,open water,2019-08-13T05:42:00Z,bottom,2.62,32494,3.3,9.5,100.7,12.42,8.01,29.79,46353,9.4,NA,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLD2,open water,2019-08-13T05:42:00Z,surface,3.04,31573,0.3,9.67,101.1,4.15,8.02,29.13,45314,9.1,NA,Elson West Lagoon Deep Station 2,71.31048,-156.28778,lagoon,secondary
West,Elson West,EWLS1,open water,2018-07-28T21:30:00Z,surface,3.24,-99999,0.5,10,99,5.67,7.85,25.19,39842,7.8,NA,Elson West Lagoon Shallow Station 1,71.32894,-156.56479,lagoon,primary
West,Elson West,EWLS1,break up,2019-06-21T21:10:00Z,surface,1.3,2330,0.3,12.85,95.2,4.11,7.54,2.15,4086,2.3,NA,Elson West Lagoon Shallow Station 1,71.32894,-156.56479,lagoon,primary
West,Elson West,EWLS1,open water,2019-08-06T00:24:00Z,surface,2.64,25980,0.23,10.25,102.3,4.29,7.98,24.98,37790,8.8,NA,Elson West Lagoon Shallow Station 1,71.32894,-156.56479,lagoon,primary
West,Elson West,EWLS2,break up,2019-06-22T08:00:00Z,surface,3.19,2387,-99999,12.9,95.2,6.23,7.4,2.2,4206,2.2,NA,Elson West Lagoon Shallow Station 2,71.28187,-156.42513,lagoon,secondary
West,Elson West,EWLS2,open water,2019-08-05T21:44:00Z,surface,2.3,27666,0.25,9.76,99.2,3.6,7.85,25.32,39999,9,NA,Elson West Lagoon Shallow Station 2,71.28187,-156.42513,lagoon,secondary
West,Elson West,MYR1,break up,2019-06-20T23:56:00Z,surface,4.07,110.3,NA,10.41,100.4,5.27,7.57,0.07,140.4,13.8,NA,Mayoeak River Station 1,71.2480905,-156.4661025,river,river
West,Elson West,MYR1,open water,2019-08-02T20:16:00Z,surface,NA,NA,NA,11.25,97,NA,6.98,NA,140.4,8.8,NA,Mayoeak River Station 1,71.2480905,-156.4661025,river,river
