node,lagoon,station,season,date_time,water_column_position,chlorophyll_a_ug_L,conductivity_uS_cm,depth_m,DO_concentration_mg_L,DO_saturation_percent,phycoerythrin_ug_L,pH,salinity,specific_conductivity_uS_cm,temperature_C,notes,station_name,latitude,longitude,habitat_type,station_sampling_priority
Central,Stefansson,STLD1,break up,2019-06-27T19:44:00Z,surface,0.8,26185,0.3,10.45,87.6,6.82,7.37,32.24,51973,-0.9,NA,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,break up,2019-06-27T20:32:00Z,bottom,0.58,1456,4.3,13.44,99.5,6.2,8,1.3,2552,2.6,NA,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,open water,2019-08-03T07:25:00Z,bottom,2.06,27366,0.28,11.42,105,7.91,7.97,29.28,46338,3.6,NA,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD1,open water,2019-08-03T07:25:00Z,surface,1.12,27988,3.8,10.87,103.5,4.88,7.94,28.59,45063,5.2,NA,Stefansson Sound Deep Station 1,70.37226667,-148.0239333,lagoon,primary
Central,Stefansson,STLD2,open water,2018-07-30T03:16:00Z,bottom,3,18930,2.8,11.31,96.6,8.95,7.79,19.95,32330,3.2,NA,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLD2,open water,2018-07-30T03:16:00Z,surface,1.3,9280,0,11.46,101.4,4.2,8.08,7.94,13766,8,NA,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLD2,open water,2018-07-31T23:50:00Z,bottom,11.59,22480,3.8,11.21,98.4,30.68,7.66,25.1,40738,1.4,NA,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLD2,open water,2018-07-31T23:50:00Z,surface,2.05,8688,0,10.91,105.9,6.21,8.04,6.59,11458,12.2,NA,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLD2,under ice,2019-04-19T21:20:00Z,bottom,0.5,25610,4.07,11.83,96.5,4.35,7.62,32.42,52600,-1.9,NA,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLD2,under ice,2019-04-19T21:20:00Z,surface,0.47,25600,1.76,11.89,97,4.5,7.63,32.46,52666,-1.9,NA,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLD2,open water,2019-08-03T05:25:00Z,bottom,1.8,28643,4.1,10.81,102.3,6.76,7.87,30.01,47184,4.6,NA,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLD2,open water,2019-08-03T05:25:00Z,surface,0.95,26752,0.6,10.55,102.5,5.35,7.9,25.91,41013,6.1,NA,Stefansson Sound Deep Station 2,70.32078333,-147.75615,lagoon,secondary
Central,Stefansson,STLS1,break up,2019-06-27T22:15:00Z,surface,0.53,265.6,0.3,11.53,102.7,4.33,8.32,0.18,370,10.2,NA,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS1,open water,2019-08-03T08:20:00Z,surface,4.41,27968,0.79,10.07,98.4,14.22,7.71,28.02,42851,6.8,NA,Stefansson Sound Shallow Station 1,70.33994,-147.97884,lagoon,primary
Central,Stefansson,STLS2,break up,2019-06-28T20:53:00Z,surface,0.22,689,0.3,12.68,91.4,4.86,8.14,0.61,1246,1.7,NA,Stefansson Sound Shallow Station 2,70.29324,-147.80153,lagoon,secondary
Central,Stefansson,STLS2,open water,2019-08-03T04:05:00Z,surface,7.74,26365,0.79,10.29,103.1,19.89,7.8,24.14,38445,8.6,NA,Stefansson Sound Shallow Station 2,70.29324,-147.80153,lagoon,secondary
East,Jago,JALD1,open water,2018-08-02T18:58:00Z,surface,2.48,6414,0.016,11.37,99.5,6.03,7.92,5.32,9482,8.1,NA,Jago Lagoon Deep Station 1,70.1040667,-143.48925,lagoon,secondary
East,Jago,JALD1,open water,2018-08-02T19:02:00Z,bottom,4.75,11310,2.818,11.96,97.9,11.88,7.86,11.1,18984,3.8,NA,Jago Lagoon Deep Station 1,70.1040667,-143.48925,lagoon,secondary
East,Jago,JALD1,open water,2019-08-09T18:00:00Z,bottom,3.16,26649,2.9,9.99,98.3,8.13,7.43,25.32,40076,7.5,NA,Jago Lagoon Deep Station 1,70.1040667,-143.48925,lagoon,secondary
East,Jago,JALD1,open water,2019-08-09T18:00:00Z,surface,3.1,25376,0.1,10.26,99.1,7.82,7.46,24.28,38610,7.1,NA,Jago Lagoon Deep Station 1,70.1040667,-143.48925,lagoon,secondary
East,Jago,JALD2,open water,2018-08-01T21:05:00Z,bottom,7.19,24802,2.964,8.93,82.4,17.87,7.32,25.28,40339,4.8,NA,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2018-08-01T21:05:00Z,surface,3.99,5303,0.022,11.24,100.1,8.06,7.85,4.22,7615,9.1,NA,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,under ice,2019-04-27T21:19:00Z,bottom,0.32,30329,2.42,4.86,41.8,4.18,7.16,38.81,61800,-1.7,NA,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,under ice,2019-04-27T21:19:00Z,surface,0.19,26862,1.53,11.4,94.5,4.11,7.62,33.99,54809,-1.7,NA,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,break up,2019-06-21T18:30:00Z,bottom,2.25,28559,3.2,8.44,74.5,6.57,7.06,33.35,52870,0.9,NA,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,break up,2019-06-21T18:30:00Z,surface,1.45,5895,0.3,12.99,108.1,5.42,7.51,5.16,9241,6,NA,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2019-08-09T19:10:00Z,bottom,2.79,29723,2.44,9.96,97.3,6.21,7.57,29.87,46755,5.9,NA,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2019-08-09T19:10:00Z,surface,1.39,26231,0.26,10.12,99.6,3.35,7.43,24.76,39250,7.6,NA,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2019-08-12T14:45:00Z,bottom,3.4,28059,3.35,10.08,96.5,9.8,7.28,28.42,44773,5.5,NA,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALD2,open water,2019-08-12T14:45:00Z,surface,3.05,25473,0.3,10.16,97.2,7.07,6.93,24.84,39489,6.4,NA,Jago Lagoon Deep Station 2,70.1068333,-143.4434667,lagoon,primary
East,Jago,JALS1,open water,2018-08-02T20:14:00Z,surface,2.03,7320,0,11.86,101.5,6.02,8.09,6.34,11192,6.9,NA,Jago Lagoon Shallow Station 1,70.08801,-143.45609,lagoon,secondary
