node,lagoon,station,season,date_collected,water_column_position,dissolved_organic_carbon_umol_L,total_dissolved_nitrogen_umol_L,collection_method,station_name,latitude,longitude,habitat_type,station_sampling_priority
East,Jago,JALS1,open water,2018-08-02,surface,314,11,pump,Jago Lagoon Shallow Station 1,70.08801,-143.45609,lagoon,secondary
East,Jago,JALS1,open water,2019-08-08,surface,133,8,pump,Jago Lagoon Shallow Station 1,70.08801,-143.45609,lagoon,secondary
East,Jago,JALS2,open water,2018-08-01,surface,491,17,pump,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,open water,2019-08-08,surface,180,10,pump,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JALS2,break up,2019-06-23,surface,206,8,pump,Jago Lagoon Shallow Station 2,70.0919,-143.37767,lagoon,primary
East,Jago,JAR1,open water,2018-07-23,surface,433,18,pump,Jago River Station 1,70.09164,-143.31685,river,river
East,Jago,JAR1,open water,2018-07-31,surface,407,16,pump,Jago River Station 1,70.09164,-143.31685,river,river
East,Jago,JAR1,break up,2019-06-22,surface,181,7,pump,Jago River Station 1,70.09164,-143.31685,river,river
East,Kaktovik,KALD1,open water,2018-08-03,surface,247,10,pump,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,open water,2018-08-03,bottom,274,13,pump,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,under ice,2019-04-28,surface,121,14,pump,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,under ice,2019-04-28,bottom,127,18,pump,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
East,Kaktovik,KALD1,open water,2019-08-08,surface,133,8,pump,Kaktovik Lagoon Deep Station 1,70.089,-143.6233167,lagoon,secondary
